Timestamp,Input (SP),Response (PV)
105.0,1.71,1.8045988991509576
106.0,1.71,1.7157380788958387
107.0,1.71,1.7449969578968145
108.0,1.71,1.5966367817687346
109.0,1.71,1.7613092365349798
110.0,1.71,1.713102264384586
111.0,1.71,1.6828227118824595
112.0,1.71,1.6694624629346246
113.0,1.71,1.726219813472114
114.0,1.71,1.6337398296556642
115.0,1.71,1.7234432889604492
116.0,1.71,1.6416818657316259
117.0,1.71,1.676898709054294
118.0,1.71,1.6968671396606294
119.0,1.71,1.6510305115170567
120.0,1.71,1.6883134898155618
121.0,1.71,1.7027540569608397
122.0,1.71,1.6264600846474868
123.0,1.71,1.692701731228163
124.0,1.71,1.6865999042599429
125.0,1.71,1.6414577368908563
126.0,1.71,1.5664426243022145
127.0,1.71,1.6934052851062615
128.0,1.71,1.7898696591297503
129.0,1.71,1.7180089950384423
130.0,1.71,1.630921886102339
131.0,1.71,1.7508813702249966
132.0,1.71,1.7871340660259696
133.0,1.71,1.6231378897134567
134.0,1.71,1.6505921659733702
135.0,1.71,1.761718545641423
136.0,1.71,1.7295766593289919
137.0,1.71,1.8074222108069997
138.0,1.71,1.6297466681634745
139.0,1.71,1.7603548871994215
140.0,1.71,1.7240327502397692
141.0,1.71,1.683516810551572
142.0,1.71,1.6845427459103188
143.0,1.71,1.6488521379991914
144.0,1.71,1.7474900014465147
145.0,1.71,1.6900841336695644
146.0,1.71,1.7050906807020723
147.0,1.71,1.6494719309724684
148.0,1.71,1.7509951860259774
149.0,1.71,1.792332278678158
150.0,1.71,1.7231357679719408
151.0,1.71,1.8122623277646803
152.0,1.71,1.6858956861921435
153.0,1.71,1.7416595375196893
154.0,1.71,1.7697810630374182
155.0,1.71,1.7021438268831481
156.0,1.71,1.7337056055280522
157.0,1.71,1.7025206987447714
158.0,1.71,1.7441106202100192
159.0,1.71,1.717128572239823
160.0,1.71,1.7275363114190725
161.0,1.71,1.7010085933609633
162.0,1.71,1.6993498206304947
163.0,1.71,1.677037177372077
164.0,1.71,1.7386144408352837
165.0,1.71,1.7910911951921924
166.0,1.71,1.738914229615661
167.0,1.71,1.6978909083548555
168.0,1.71,1.6326687303876182
169.0,1.71,1.6474766353764816
170.0,1.71,1.6664344023629127
171.0,1.71,1.7170294633532415
172.0,1.71,1.6039880706024783
173.0,1.71,1.7003370717432638
174.0,1.71,1.7600441317418887
175.0,1.71,1.8011216166939843
176.0,1.71,1.6731311887259248
177.0,1.71,1.7213300827594205
178.0,1.71,1.7658310636034749
179.0,1.71,1.7151398011384893
180.0,1.71,1.6798109908650845
181.0,1.71,1.6764434800635728
182.0,1.71,1.682774511511131
183.0,1.71,1.667218287765496
184.0,1.71,1.7607357159502892
185.0,1.71,1.7146740456463625
186.0,1.71,1.794904857400072
187.0,1.71,1.7555870951368084
188.0,1.71,1.6832299720802053
189.0,1.71,1.7083255178359233
190.0,1.71,1.6358031040263927
191.0,1.71,1.7725498934922848
192.0,1.71,1.6778833745411865
193.0,1.71,1.723264127697963
194.0,1.71,1.7134838973500486
195.0,1.71,1.6998437901348162
196.0,1.71,1.7246278055365116
197.0,1.71,1.7083800407019902
198.0,1.71,1.6934763222097395
199.0,1.71,1.6615741231388328
200.0,1.71,1.6838168533801667
201.0,1.71,1.7035875201311885
202.0,1.71,1.726227667734425
203.0,1.71,1.7822068955436698
204.0,1.71,1.7371072349850418
205.0,1.71,1.652122489951353
206.0,1.71,1.7166519922086336
207.0,1.71,1.7325655450832265
